sample_id,kind,modality,start_index,end_index_exclusive,delta_target_probability,delta_score
05,modality,text,-1,-1,0.11590874195098877,0.15657514333724976
05,modality,audio,-1,-1,-0.05895113945007324,-0.1880764365196228
05,modality,vision,-1,-1,0.38881903886795044,0.6731230020523071
05,window,text,1,5,0.0549202561378479,0.1295778751373291
05,window,text,5,9,0.08920544385910034,0.07879364490509033
05,window,text,9,13,0.02493464946746826,0.06302672624588013
05,window,text,13,16,-0.015445709228515625,-0.02535724639892578
05,window,audio,1,5,-0.03100341558456421,-0.08494323492050171
05,window,audio,5,9,-0.01378488540649414,-0.0464971661567688
05,window,audio,9,13,-0.014295220375061035,-0.03540605306625366
05,window,audio,13,16,-0.006164669990539551,-0.020705223083496094
05,window,vision,1,5,0.14831703901290894,0.29478734731674194
05,window,vision,5,9,0.12613803148269653,0.2666481137275696
05,window,vision,9,13,0.011070013046264648,0.04424220323562622
05,window,vision,13,16,0.000555872917175293,-0.0040021538734436035
06,modality,text,-1,-1,0.3411829471588135,0.45524024963378906
06,modality,audio,-1,-1,-0.015942394733428955,-0.051512718200683594
06,modality,vision,-1,-1,-0.10743194818496704,-0.18429583311080933
06,window,text,1,5,0.043403029441833496,0.04604664444923401
06,window,text,5,9,0.11458560824394226,0.14247435331344604
06,window,text,9,13,0.01817166805267334,0.0023744702339172363
06,window,text,13,17,0.11091065406799316,0.09826028347015381
06,window,text,17,21,0.03970986604690552,0.03727558255195618
06,window,text,21,25,0.1593766212463379,0.1882801353931427
06,window,text,25,29,0.03535836935043335,-0.0020108819007873535
06,window,text,29,33,-0.030652344226837158,-0.012473702430725098
06,window,text,33,36,-0.07698047161102295,-0.02700561285018921
06,window,audio,1,5,0.007312178611755371,0.0009719729423522949
06,window,audio,5,9,0.0028727054595947266,-0.0007371902465820312
06,window,audio,9,13,0.0037453174591064453,-0.00054970383644104
06,window,audio,13,17,0.01672297716140747,0.008875548839569092
06,window,audio,17,21,-0.015978574752807617,-0.0193517804145813
06,window,audio,21,25,-0.004036426544189453,-0.019613981246948242
06,window,audio,25,29,-0.006838440895080566,0.0002570152282714844
06,window,audio,29,33,-0.013103067874908447,-0.010943979024887085
